id,kode_provinsi,nama_provinsi,perangkat_daerah,jumlah_aplikasi,satuan,tahun
1,32,JAWA BARAT,BADAN KEPEGAWAIAN DAERAH,8,ALAMAT WEB,2020
2,32,JAWA BARAT,BADAN KESATUAN BANGSA DAN POLITIK,1,ALAMAT WEB,2020
3,32,JAWA BARAT,BADAN PENANGGULANGAN BENCANA DAERAH,2,ALAMAT WEB,2020
4,32,JAWA BARAT,BADAN PENDAPATAN DAERAH,8,ALAMAT WEB,2020
5,32,JAWA BARAT,BADAN PENELITIAN DAN PENGEMBANGAN DAERAH,1,ALAMAT WEB,2020
6,32,JAWA BARAT,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,14,ALAMAT WEB,2020
7,32,JAWA BARAT,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA,4,ALAMAT WEB,2020
8,32,JAWA BARAT,BADAN PERENCANAAN PEMBANGUNAN DAERAH,8,ALAMAT WEB,2020
9,32,JAWA BARAT,BIRO BADAN USAHA DAN MILIK DAERAH,1,ALAMAT WEB,2020
10,32,JAWA BARAT,BIRO HUBUNGAN MASYARAKAT DAN PROTOKOL,5,ALAMAT WEB,2020
11,32,JAWA BARAT,BIRO HUKUN DAN HAK AZASI MANUSIA,3,ALAMAT WEB,2020
12,32,JAWA BARAT,BIRO ORGANISASI,3,ALAMAT WEB,2020
13,32,JAWA BARAT,BIRO PELAYANAN DAN PENGEMBANGAN SOSIAL,2,ALAMAT WEB,2020
14,32,JAWA BARAT,BIRO PEMERINTAHAN DAN KERJASAMA,6,ALAMAT WEB,2020
15,32,JAWA BARAT,BIRO PENGADAAN BARANG DAN JASA,3,ALAMAT WEB,2020
16,32,JAWA BARAT,BIRO PEREKONOMIAN,1,ALAMAT WEB,2020
17,32,JAWA BARAT,BIRO UMUM,2,ALAMAT WEB,2020
18,32,JAWA BARAT,DINAS BINA MARGA DAN PENATAAN RUANG,2,ALAMAT WEB,2020
19,32,JAWA BARAT,DINAS ENERGI DAN SUMBER DAYA MINERAL,2,ALAMAT WEB,2020
20,32,JAWA BARAT,DINAS KEHUTANAN,10,ALAMAT WEB,2020
21,32,JAWA BARAT,DINAS KELAUTAN DAN PERIKANAN,3,ALAMAT WEB,2020
22,32,JAWA BARAT,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,1,ALAMAT WEB,2020
23,32,JAWA BARAT,DINAS KESEHATAN,10,ALAMAT WEB,2020
24,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,3,ALAMAT WEB,2020
25,32,JAWA BARAT,DINAS KOMUNIKASI DAN INFORMATIKA,77,ALAMAT WEB,2020
26,32,JAWA BARAT,DINAS KOPERASI DAN USAHA KECIL,3,ALAMAT WEB,2020
27,32,JAWA BARAT,DINAS LINGKUNGAN HIDUP,4,ALAMAT WEB,2020
28,32,JAWA BARAT,DINAS PARIWISATA DAN KEBUDAYAAN,2,ALAMAT WEB,2020
29,32,JAWA BARAT,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,2,ALAMAT WEB,2020
30,32,JAWA BARAT,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KELUARGA BERNCANA",4,ALAMAT WEB,2020
31,32,JAWA BARAT,DINAS PEMUDA DAN OLAHRAGA,10,ALAMAT WEB,2020
32,32,JAWA BARAT,DINAS PENANAMAN MODAL DAN PELAYANAN SATU PINTU,4,ALAMAT WEB,2020
33,32,JAWA BARAT,DINAS PENDIDIKAN,16,ALAMAT WEB,2020
34,32,JAWA BARAT,DINAS PERHUBUNGAN,3,ALAMAT WEB,2020
35,32,JAWA BARAT,DINAS PERINDUSTRIAN DAN PERDAGANGAN,5,ALAMAT WEB,2020
36,32,JAWA BARAT,DINAS PERKEBUNAN,7,ALAMAT WEB,2020
37,32,JAWA BARAT,DINAS PERPUSTAKAAN DAN KEARSIPAN DAERAH,6,ALAMAT WEB,2020
38,32,JAWA BARAT,DINAS PERUMAHAN DAN PEMUKIMAN,6,ALAMAT WEB,2020
39,32,JAWA BARAT,DINAS SOSIAL,10,ALAMAT WEB,2020
40,32,JAWA BARAT,DINAS SUMBER DAYA AIR,9,ALAMAT WEB,2020
41,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURAL,1,ALAMAT WEB,2020
42,32,JAWA BARAT,DINAS TENAGA KERJA DAN TRANSMIGRASI,8,ALAMAT WEB,2020
43,32,JAWA BARAT,INSPEKTORAT,4,ALAMAT WEB,2020
44,32,JAWA BARAT,SATUAN POLISI PAMONG PRAJA,1,ALAMAT WEB,2020
45,32,JAWA BARAT,SEKRETARIS DPRD,4,ALAMAT WEB,2020
46,32,JAWA BARAT,BADAN KEPEGAWAIAN DAERAH,31,ALAMAT WEB,2022
47,32,JAWA BARAT,BADAN KESATUAN BANGSA DAN POLITIK,2,ALAMAT WEB,2022
48,32,JAWA BARAT,BADAN PENANGGULANGAN BENCANA DAERAH,5,ALAMAT WEB,2022
49,32,JAWA BARAT,BADAN PENDAPATAN DAERAH,24,ALAMAT WEB,2022
50,32,JAWA BARAT,BADAN PENELITIAN DAN PENGEMBANGAN DAERAH,2,ALAMAT WEB,2022
51,32,JAWA BARAT,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH,23,ALAMAT WEB,2022
52,32,JAWA BARAT,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA,9,ALAMAT WEB,2022
53,32,JAWA BARAT,BADAN PENGHUBUNG,1,ALAMAT WEB,2022
54,32,JAWA BARAT,BADAN PERENCANAAN PEMBANGUNAN DAERAH,16,ALAMAT WEB,2022
55,32,JAWA BARAT,BIRO BADAN USAHA DAN MILIK DAERAH,7,ALAMAT WEB,2022
56,32,JAWA BARAT,BIRO HUBUNGAN MASYARAKAT DAN PROTOKOL,4,ALAMAT WEB,2022
57,32,JAWA BARAT,BIRO HUKUM DAN HAK AZASI MANUSIA,3,ALAMAT WEB,2022
58,32,JAWA BARAT,BIRO ORGANISASI,6,ALAMAT WEB,2022
59,32,JAWA BARAT,BIRO PELAYANAN DAN PENGEMBANGAN SOSIAL,3,ALAMAT WEB,2022
60,32,JAWA BARAT,BIRO PEMERINTAHAN DAN KERJASAMA,9,ALAMAT WEB,2022
61,32,JAWA BARAT,BIRO PENGADAAN BARANG DAN JASA,8,ALAMAT WEB,2022
62,32,JAWA BARAT,BIRO PEREKONOMIAN,3,ALAMAT WEB,2022
63,32,JAWA BARAT,BIRO UMUM,9,ALAMAT WEB,2022
64,32,JAWA BARAT,DINAS BINA MARGA DAN PENATAAN RUANG,3,ALAMAT WEB,2022
65,32,JAWA BARAT,DINAS ENERGI DAN SUMBER DAYA MINERAL,5,ALAMAT WEB,2022
66,32,JAWA BARAT,DINAS KEHUTANAN,11,ALAMAT WEB,2022
67,32,JAWA BARAT,DINAS KELAUTAN DAN PERIKANAN,4,ALAMAT WEB,2022
68,32,JAWA BARAT,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,4,ALAMAT WEB,2022
69,32,JAWA BARAT,DINAS KESEHATAN,18,ALAMAT WEB,2022
70,32,JAWA BARAT,DINAS KETAHANAN PANGAN DAN PETERNAKAN,9,ALAMAT WEB,2022
71,32,JAWA BARAT,DINAS KOMUNIKASI DAN INFORMATIKA,105,ALAMAT WEB,2022
72,32,JAWA BARAT,DINAS KOPERASI DAN USAHA KECIL,5,ALAMAT WEB,2022
73,32,JAWA BARAT,DINAS LINGKUNGAN HIDUP,8,ALAMAT WEB,2022
74,32,JAWA BARAT,DINAS PARIWISATA DAN KEBUDAYAAN,16,ALAMAT WEB,2022
75,32,JAWA BARAT,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,4,ALAMAT WEB,2022
76,32,JAWA BARAT,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KELUARGA BERNCANA",8,ALAMAT WEB,2022
77,32,JAWA BARAT,DINAS PEMUDA DAN OLAHRAGA,11,ALAMAT WEB,2022
78,32,JAWA BARAT,DINAS PENANAMAN MODAL DAN PELAYANAN SATU PINTU,14,ALAMAT WEB,2022
79,32,JAWA BARAT,DINAS PENDIDIKAN,32,ALAMAT WEB,2022
80,32,JAWA BARAT,DINAS PERHUBUNGAN,5,ALAMAT WEB,2022
81,32,JAWA BARAT,DINAS PERINDUSTRIAN DAN PERDAGANGAN,13,ALAMAT WEB,2022
82,32,JAWA BARAT,DINAS PERKEBUNAN,11,ALAMAT WEB,2022
83,32,JAWA BARAT,DINAS PERPUSTAKAAN DAN KEARSIPAN DAERAH,6,ALAMAT WEB,2022
84,32,JAWA BARAT,DINAS PERUMAHAN DAN PEMUKIMAN,9,ALAMAT WEB,2022
85,32,JAWA BARAT,DINAS SOSIAL,16,ALAMAT WEB,2022
86,32,JAWA BARAT,DINAS SUMBER DAYA AIR,14,ALAMAT WEB,2022
87,32,JAWA BARAT,DINAS TANAMAN PANGAN DAN HORTIKULTURAL,4,ALAMAT WEB,2022
88,32,JAWA BARAT,DINAS TENAGA KERJA DAN TRANSMIGRASI,15,ALAMAT WEB,2022
89,32,JAWA BARAT,INSPEKTORAT,7,ALAMAT WEB,2022
90,32,JAWA BARAT,SATUAN POLISI PAMONG PRAJA,2,ALAMAT WEB,2022
91,32,JAWA BARAT,SEKRETARIS DPRD,5,ALAMAT WEB,2022
